Company	Investor	category_list	raised_amount_usd	Valuation ($B)	funded_at	Country	Industry	Select Investors
17zuoye	DST Global	Education|Language Learning	20000000	Edtech	China	Temasek Holdings, H Capital, Shunwei Fund
Coinbase	Ribbit Capital	Bitcoin|E-Commerce|Personal Finance	25000000	Fintech	USA	Union Square Ventures, Andreessen Horowitz, BBVA Ventures	
Coinbase	Ribbit Capital	Bitcoin|E-Commerce|Personal Finance	6109590	Fintech	USA	Union Square Ventures, Andreessen Horowitz, BBVA Ventures	
Coinbase	Ribbit Capital	Bitcoin|E-Commerce|Personal Finance	75000000	Fintech	USA	Union Square Ventures, Andreessen Horowitz, BBVA Ventures	
Coinbase	SV Angel	Bitcoin|E-Commerce|Personal Finance	6109590	Fintech	USA	Union Square Ventures, Andreessen Horowitz, BBVA Ventures	
Coinbase	USAA	Bitcoin|E-Commerce|Personal Finance	75000000	Fintech	USA	Union Square Ventures, Andreessen Horowitz, BBVA Ventures	
Coinbase	Union Square Ventures	Bitcoin|E-Commerce|Personal Finance	25000000	Fintech	USA	Union Square Ventures, Andreessen Horowitz, BBVA Ventures	
Coinbase	Union Square Ventures	Bitcoin|E-Commerce|Personal Finance	6109590	Fintech	USA	Union Square Ventures, Andreessen Horowitz, BBVA Ventures	
Coinbase	Union Square Ventures	Bitcoin|E-Commerce|Personal Finance	75000000	Fintech	USA	Union Square Ventures, Andreessen Horowitz, BBVA Ventures	
Coinbase	Valor Capital Group	Bitcoin|E-Commerce|Personal Finance	75000000	Fintech	USA	Union Square Ventures, Andreessen Horowitz, BBVA Ventures	
Coinbase	Vayner/RSE	Bitcoin|E-Commerce|Personal Finance	75000000	Fintech	USA	Union Square Ventures, Andreessen Horowitz, BBVA Ventures	
Coinbase	Y Combinator	Bitcoin|E-Commerce|Personal Finance	600000	Fintech	USA	Union Square Ventures, Andreessen Horowitz, BBVA Ventures	
Collective Health	Bobby Yazdani	Analytics|Business Intelligence|Health and Wellness|Health Care|Health Care Information Technology|Healthcare Services|Insurance|Software	6000000	Healthcare	USA	Founders Fund, Formation 8, New Enterprise Associates	
Collective Health	Citizen.VC	Analytics|Business Intelligence|Health and Wellness|Health Care|Health Care Information Technology|Healthcare Services|Insurance|Software	6000000	Healthcare	USA	Founders Fund, Formation 8, New Enterprise Associates	
Collective Health	Formation 8	Analytics|Business Intelligence|Health and Wellness|Health Care|Health Care Information Technology|Healthcare Services|Insurance|Software	38000000	Healthcare	USA	Founders Fund, Formation 8, New Enterprise Associates	
Collective Health	Founders Fund	Analytics|Business Intelligence|Health and Wellness|Health Care|Health Care Information Technology|Healthcare Services|Insurance|Software	38000000	Healthcare	USA	Founders Fund, Formation 8, New Enterprise Associates	
Collective Health	Founders Fund	Analytics|Business Intelligence|Health and Wellness|Health Care|Health Care Information Technology|Healthcare Services|Insurance|Software	6000000	Healthcare	USA	Founders Fund, Formation 8, New Enterprise Associates	
Collective Health	Founders Fund	Analytics|Business Intelligence|Health and Wellness|Health Care|Health Care Information Technology|Healthcare Services|Insurance|Software	81000000	Healthcare	USA	Founders Fund, Formation 8, New Enterprise Associates	
Collective Health	Google Ventures	Analytics|Business Intelligence|Health and Wellness|Health Care|Health Care Information Technology|Healthcare Services|Insurance|Software	6000000	Healthcare	USA	Founders Fund, Formation 8, New Enterprise Associates	
Collective Health	Google Ventures	Analytics|Business Intelligence|Health and Wellness|Health Care|Health Care Information Technology|Healthcare Services|Insurance|Software	81000000	Healthcare	USA	Founders Fund, Formation 8, New Enterprise Associates	
Collective Health	Great Oaks Venture Capital	Analytics|Business Intelligence|Health and Wellness|Health Care|Health Care Information Technology|Healthcare Services|Insurance|Software	38000000	Healthcare	USA	Founders Fund, Formation 8, New Enterprise Associates	
Collective Health	Maverick Capital	Analytics|Business Intelligence|Health and Wellness|Health Care|Health Care Information Technology|Healthcare Services|Insurance|Software	6000000	Healthcare	USA	Founders Fund, Formation 8, New Enterprise Associates	
Collective Health	Maverick Capital	Analytics|Business Intelligence|Health and Wellness|Health Care|Health Care Information Technology|Healthcare Services|Insurance|Software	81000000	Healthcare	USA	Founders Fund, Formation 8, New Enterprise Associates	
Collective Health	New Enterprise Associates	Analytics|Business Intelligence|Health and Wellness|Health Care|Health Care Information Technology|Healthcare Services|Insurance|Software	38000000	Healthcare	USA	Founders Fund, Formation 8, New Enterprise Associates	
Collective Health	New Enterprise Associates	Analytics|Business Intelligence|Health and Wellness|Health Care|Health Care Information Technology|Healthcare Services|Insurance|Software	6000000	Healthcare	USA	Founders Fund, Formation 8, New Enterprise Associates	
Collective Health	New Enterprise Associates	Analytics|Business Intelligence|Health and Wellness|Health Care|Health Care Information Technology|Healthcare Services|Insurance|Software	81000000	Healthcare	USA	Founders Fund, Formation 8, New Enterprise Associates	
Collective Health	RRE Ventures	Analytics|Business Intelligence|Health and Wellness|Health Care|Health Care Information Technology|Healthcare Services|Insurance|Software	6000000	Healthcare	USA	Founders Fund, Formation 8, New Enterprise Associates	
Collective Health	RRE Ventures	Analytics|Business Intelligence|Health and Wellness|Health Care|Health Care Information Technology|Healthcare Services|Insurance|Software	81000000	Healthcare	USA	Founders Fund, Formation 8, New Enterprise Associates	
Collective Health	Redpoint Ventures	Analytics|Business Intelligence|Health and Wellness|Health Care|Health Care Information Technology|Healthcare Services|Insurance|Software	38000000	Healthcare	USA	Founders Fund, Formation 8, New Enterprise Associates	
Collective Health	Redpoint Ventures	Analytics|Business Intelligence|Health and Wellness|Health Care|Health Care Information Technology|Healthcare Services|Insurance|Software	6000000	Healthcare	USA	Founders Fund, Formation 8, New Enterprise Associates	
Collective Health	Redpoint Ventures	Analytics|Business Intelligence|Health and Wellness|Health Care|Health Care Information Technology|Healthcare Services|Insurance|Software	81000000	Healthcare	USA	Founders Fund, Formation 8, New Enterprise Associates	
Collective Health	Rock Health	Analytics|Business Intelligence|Health and Wellness|Health Care|Health Care Information Technology|Healthcare Services|Insurance|Software	38000000	Healthcare	USA	Founders Fund, Formation 8, New Enterprise Associates	
Collective Health	Signatures Capital	Analytics|Business Intelligence|Health and Wellness|Health Care|Health Care Information Technology|Healthcare Services|Insurance|Software	6000000	Healthcare	USA	Founders Fund, Formation 8, New Enterprise Associates	
Collective Health	Subtraction Capital	Analytics|Business Intelligence|Health and Wellness|Health Care|Health Care Information Technology|Healthcare Services|Insurance|Software	38000000	Healthcare	USA	Founders Fund, Formation 8, New Enterprise Associates	
Cyanogen	Access Industries	Services|Software	85000000	Mobile Software & Services	USA	Twitter Ventures, Qualcomm Ventures, Benchmark Capital	
Cyanogen	Andreessen Horowitz	Services|Software	23000000	Mobile Software & Services	USA	Twitter Ventures, Qualcomm Ventures, Benchmark Capital	
