Company	Investor	category_list	raised_amount_usd	Valuation ($B)	funded_at	Country	Industry	Select Investors
Actifio	North Bridge Venture Partners & Growth Equity	Enterprise Software|Information Services|Information Technology	8000000	$1.1	3/24/2014	USA	Big Data	Greylock Partners, North Bridge Venture Partners, Technology Crossover Ventures
Actifio	Technology Crossover Ventures	Enterprise Software|Information Services|Information Technology	100000000	$1.1	3/24/2014	USA	Big Data	Greylock Partners, North Bridge Venture Partners, Technology Crossover Ventures
Actifio	Technology Crossover Ventures	Enterprise Software|Information Services|Information Technology	50000000	$1.1	3/24/2014	USA	Big Data	Greylock Partners, North Bridge Venture Partners, Technology Crossover Ventures
Actifio	Tiger Global Management	Enterprise Software|Information Services|Information Technology	100000000	$1.1	3/24/2014	USA	Big Data	Greylock Partners, North Bridge Venture Partners, Technology Crossover Ventures
Adyen	Felicis Ventures	Payments	250000000	$2.3	12/16/2014	Netherlands	Fintech	Felicis Ventures, Index Ventures, Temasek Holdings
Adyen	General Atlantic	Payments	250000000	$2.3	12/16/2014	Netherlands	Fintech	Felicis Ventures, Index Ventures, Temasek Holdings
Adyen	Index Ventures	Payments	16000000	$2.3	12/16/2014	Netherlands	Fintech	Felicis Ventures, Index Ventures, Temasek Holdings
Adyen	Index Ventures	Payments	250000000	$2.3	12/16/2014	Netherlands	Fintech	Felicis Ventures, Index Ventures, Temasek Holdings
Adyen	Temasek Holdings	Payments	250000000	$2.3	12/16/2014	Netherlands	Fintech	Felicis Ventures, Index Ventures, Temasek Holdings
Airbnb	Andreessen Horowitz	Hotels|Travel	112000000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Airbnb	Ashton Kutcher	Hotels|Travel	112000000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Airbnb	Ashton Kutcher	Hotels|Travel	200000000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Airbnb	Ashton Kutcher	Hotels|Travel	7200000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Airbnb	Baillie Gifford	Hotels|Travel	1500000000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Airbnb	China Broadband Capital	Hotels|Travel	1500000000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Airbnb	CrunchFund	Hotels|Travel	112000000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Airbnb	CrunchFund	Hotels|Travel	200000000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Airbnb	DST Global	Hotels|Travel	112000000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Airbnb	Dragoneer Investment Group	Hotels|Travel	475000000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Airbnb	Elad Gil	Hotels|Travel	7200000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Airbnb	Fidelity Investments	Hotels|Travel	1500000000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Airbnb	FirstMark Capital	Hotels|Travel	100000000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Airbnb	Founders Fund	Hotels|Travel	200000000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Airbnb	GGV Capital	Hotels|Travel	1500000000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Airbnb	General Atlantic	Hotels|Travel	1500000000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Airbnb	General Catalyst Partners	Hotels|Travel	112000000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Airbnb	Greylock Partners	Hotels|Travel	7200000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Airbnb	Hillhouse Capital Group	Hotels|Travel	1500000000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Airbnb	Horizon Ventures	Hotels|Travel	1500000000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Airbnb	Jeff Bezos	Hotels|Travel	112000000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Airbnb	Jeremy Stoppelman	Hotels|Travel	7200000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Airbnb	Keith Rabois	Hotels|Travel	7200000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Airbnb	Kleiner Perkins Caufield & Byers	Hotels|Travel	1500000000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Airbnb	Oliver Jung	Hotels|Travel	112000000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Airbnb	SV Angel	Hotels|Travel	7200000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Airbnb	Sequoia Capital	Hotels|Travel	112000000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Airbnb	Sequoia Capital	Hotels|Travel	1500000000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Airbnb	Sequoia Capital	Hotels|Travel	200000000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Airbnb	Sequoia Capital	Hotels|Travel	475000000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Airbnb	Sequoia Capital	Hotels|Travel	600000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Airbnb	Sequoia Capital	Hotels|Travel	7200000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Airbnb	Sherpa Capital	Hotels|Travel	475000000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Airbnb	T. Rowe Price	Hotels|Travel	1500000000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Airbnb	T. Rowe Price	Hotels|Travel	475000000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Airbnb	TPG Growth	Hotels|Travel	475000000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Airbnb	Temasek Holdings	Hotels|Travel	1500000000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Airbnb	Tiger Global Management	Hotels|Travel	1500000000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Airbnb	Wellington Management	Hotels|Travel	1500000000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Airbnb	Y Combinator	Hotels|Travel	20000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Airbnb	Y Ventures	Hotels|Travel	600000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Airbnb	Y Ventures	Hotels|Travel	7200000	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Anaplan	Brookside Capital	Cloud Computing|Enterprise Software	100000000	$1.09	1/14/2016	USA	Internet Software & Services	Shasta Ventures, Granite Ventures, DFJ Growth Fund
Anaplan	Coatue Management	Cloud Computing|Enterprise Software	100000000	$1.09	1/14/2016	USA	Internet Software & Services	Shasta Ventures, Granite Ventures, DFJ Growth Fund
Anaplan	DFJ Growth	Cloud Computing|Enterprise Software	100000000	$1.09	1/14/2016	USA	Internet Software & Services	Shasta Ventures, Granite Ventures, DFJ Growth Fund
Anaplan	Granite Ventures	Cloud Computing|Enterprise Software	100000000	$1.09	1/14/2016	USA	Internet Software & Services	Shasta Ventures, Granite Ventures, DFJ Growth Fund
Anaplan	Granite Ventures	Cloud Computing|Enterprise Software	11400000	$1.09	1/14/2016	USA	Internet Software & Services	Shasta Ventures, Granite Ventures, DFJ Growth Fund
Anaplan	Granite Ventures	Cloud Computing|Enterprise Software	33000000	$1.09	1/14/2016	USA	Internet Software & Services	Shasta Ventures, Granite Ventures, DFJ Growth Fund
Anaplan	Meritech Capital Partners	Cloud Computing|Enterprise Software	100000000	$1.09	1/14/2016	USA	Internet Software & Services	Shasta Ventures, Granite Ventures, DFJ Growth Fund
Anaplan	Meritech Capital Partners	Cloud Computing|Enterprise Software	33000000	$1.09	1/14/2016	USA	Internet Software & Services	Shasta Ventures, Granite Ventures, DFJ Growth Fund
Anaplan	Salesforce Ventures	Cloud Computing|Enterprise Software	100000000	$1.09	1/14/2016	USA	Internet Software & Services	Shasta Ventures, Granite Ventures, DFJ Growth Fund
Anaplan	Salesforce Ventures	Cloud Computing|Enterprise Software	33000000	$1.09	1/14/2016	USA	Internet Software & Services	Shasta Ventures, Granite Ventures, DFJ Growth Fund
Anaplan	Sands Capital Ventures	Cloud Computing|Enterprise Software	100000000	$1.09	1/14/2016	USA	Internet Software & Services	Shasta Ventures, Granite Ventures, DFJ Growth Fund
Anaplan	Shasta Ventures	Cloud Computing|Enterprise Software	100000000	$1.09	1/14/2016	USA	Internet Software & Services	Shasta Ventures, Granite Ventures, DFJ Growth Fund
Anaplan	Shasta Ventures	Cloud Computing|Enterprise Software	11400000	$1.09	1/14/2016	USA	Internet Software & Services	Shasta Ventures, Granite Ventures, DFJ Growth Fund
Anaplan	Shasta Ventures	Cloud Computing|Enterprise Software	33000000	$1.09	1/14/2016	USA	Internet Software & Services	Shasta Ventures, Granite Ventures, DFJ Growth Fund
AppDirect	Foundry Group	Apps|Enterprise Software|IaaS|PaaS|SaaS	140000000	$1	10/7/2015	USA	Internet Software & Services	Foundry Group, iNovia Capital, StarVest Partners
AppDirect	Foundry Group	Apps|Enterprise Software|IaaS|PaaS|SaaS	35000000	$1	10/7/2015	USA	Internet Software & Services	Foundry Group, iNovia Capital, StarVest Partners
AppDirect	JP Morgan Chase & Co.	Apps|Enterprise Software|IaaS|PaaS|SaaS	140000000	$1	10/7/2015	USA	Internet Software & Services	Foundry Group, iNovia Capital, StarVest Partners
AppDirect	Mithril Capital Management	Apps|Enterprise Software|IaaS|PaaS|SaaS	140000000	$1	10/7/2015	USA	Internet Software & Services	Foundry Group, iNovia Capital, StarVest Partners
AppDirect	Mithril Capital Management	Apps|Enterprise Software|IaaS|PaaS|SaaS	35000000	$1	10/7/2015	USA	Internet Software & Services	Foundry Group, iNovia Capital, StarVest Partners
AppDirect	Mithril Capital Management	Apps|Enterprise Software|IaaS|PaaS|SaaS	50000000	$1	10/7/2015	USA	Internet Software & Services	Foundry Group, iNovia Capital, StarVest Partners
AppDirect	StarVest Partners	Apps|Enterprise Software|IaaS|PaaS|SaaS	140000000	$1	10/7/2015	USA	Internet Software & Services	Foundry Group, iNovia Capital, StarVest Partners
AppDirect	StarVest Partners	Apps|Enterprise Software|IaaS|PaaS|SaaS	35000000	$1	10/7/2015	USA	Internet Software & Services	Foundry Group, iNovia Capital, StarVest Partners
AppDirect	StarVest Partners	Apps|Enterprise Software|IaaS|PaaS|SaaS	50000000	$1	10/7/2015	USA	Internet Software & Services	Foundry Group, iNovia Capital, StarVest Partners
AppDirect	StarVest Partners	Apps|Enterprise Software|IaaS|PaaS|SaaS	9000000	$1	10/7/2015	USA	Internet Software & Services	Foundry Group, iNovia Capital, StarVest Partners
AppDirect	Stingray Digital	Apps|Enterprise Software|IaaS|PaaS|SaaS	140000000	$1	10/7/2015	USA	Internet Software & Services	Foundry Group, iNovia Capital, StarVest Partners
AppDirect	Stingray Digital	Apps|Enterprise Software|IaaS|PaaS|SaaS	3250000	$1	10/7/2015	USA	Internet Software & Services	Foundry Group, iNovia Capital, StarVest Partners
AppDirect	Stingray Digital	Apps|Enterprise Software|IaaS|PaaS|SaaS	8500000	$1	10/7/2015	USA	Internet Software & Services	Foundry Group, iNovia Capital, StarVest Partners
AppDirect	iNovia Capital	Apps|Enterprise Software|IaaS|PaaS|SaaS	140000000	$1	10/7/2015	USA	Internet Software & Services	Foundry Group, iNovia Capital, StarVest Partners
AppDirect	iNovia Capital	Apps|Enterprise Software|IaaS|PaaS|SaaS	3250000	$1	10/7/2015	USA	Internet Software & Services	Foundry Group, iNovia Capital, StarVest Partners
AppDirect	iNovia Capital	Apps|Enterprise Software|IaaS|PaaS|SaaS	35000000	$1	10/7/2015	USA	Internet Software & Services	Foundry Group, iNovia Capital, StarVest Partners
AppDirect	iNovia Capital	Apps|Enterprise Software|IaaS|PaaS|SaaS	8500000	$1	10/7/2015	USA	Internet Software & Services	Foundry Group, iNovia Capital, StarVest Partners
AppDirect	iNovia Capital	Apps|Enterprise Software|IaaS|PaaS|SaaS	9000000	$1	10/7/2015	USA	Internet Software & Services	Foundry Group, iNovia Capital, StarVest Partners
AppDynamics	Adage Capital Management	Application Performance Monitoring|Apps|Business Analytics|Information Services|Information Technology|Internet|Software	158000000	$1	7/22/2014	USA	Big Data	Battery Ventures, Kleiner Perkins Caufield & Byers, Institutional Venture Partners
AppDynamics	Altimeter Capital	Application Performance Monitoring|Apps|Business Analytics|Information Services|Information Technology|Internet|Software	158000000	$1	7/22/2014	USA	Big Data	Battery Ventures, Kleiner Perkins Caufield & Byers, Institutional Venture Partners
AppDynamics	Battery Ventures	Application Performance Monitoring|Apps|Business Analytics|Information Services|Information Technology|Internet|Software	158000000	$1	7/22/2014	USA	Big Data	Battery Ventures, Kleiner Perkins Caufield & Byers, Institutional Venture Partners
AppDynamics	Battery Ventures	Application Performance Monitoring|Apps|Business Analytics|Information Services|Information Technology|Internet|Software	70000000	$1	7/22/2014	USA	Big Data	Battery Ventures, Kleiner Perkins Caufield & Byers, Institutional Venture Partners
AppDynamics	ClearBridge Investments	Application Performance Monitoring|Apps|Business Analytics|Information Services|Information Technology|Internet|Software	158000000	$1	7/22/2014	USA	Big Data	Battery Ventures, Kleiner Perkins Caufield & Byers, Institutional Venture Partners
AppDynamics	ClearBridge Investments	Application Performance Monitoring|Apps|Business Analytics|Information Services|Information Technology|Internet|Software	70000000	$1	7/22/2014	USA	Big Data	Battery Ventures, Kleiner Perkins Caufield & Byers, Institutional Venture Partners
AppDynamics	Cross Creek Advisors	Application Performance Monitoring|Apps|Business Analytics|Information Services|Information Technology|Internet|Software	158000000	$1	7/22/2014	USA	Big Data	Battery Ventures, Kleiner Perkins Caufield & Byers, Institutional Venture Partners
AppDynamics	General Atlantic	Application Performance Monitoring|Apps|Business Analytics|Information Services|Information Technology|Internet|Software	158000000	$1	7/22/2014	USA	Big Data	Battery Ventures, Kleiner Perkins Caufield & Byers, Institutional Venture Partners
AppDynamics	General Catalyst Partners	Application Performance Monitoring|Apps|Business Analytics|Information Services|Information Technology|Internet|Software	158000000	$1	7/22/2014	USA	Big Data	Battery Ventures, Kleiner Perkins Caufield & Byers, Institutional Venture Partners
AppDynamics	Goldman Sachs	Application Performance Monitoring|Apps|Business Analytics|Information Services|Information Technology|Internet|Software	158000000	$1	7/22/2014	USA	Big Data	Battery Ventures, Kleiner Perkins Caufield & Byers, Institutional Venture Partners
AppDynamics	Greylock Partners	Application Performance Monitoring|Apps|Business Analytics|Information Services|Information Technology|Internet|Software	11000000	$1	7/22/2014	USA	Big Data	Battery Ventures, Kleiner Perkins Caufield & Byers, Institutional Venture Partners
AppDynamics	Greylock Partners	Application Performance Monitoring|Apps|Business Analytics|Information Services|Information Technology|Internet|Software	158000000	$1	7/22/2014	USA	Big Data	Battery Ventures, Kleiner Perkins Caufield & Byers, Institutional Venture Partners
AppDynamics	Greylock Partners	Application Performance Monitoring|Apps|Business Analytics|Information Services|Information Technology|Internet|Software	20000000	$1	7/22/2014	USA	Big Data	Battery Ventures, Kleiner Perkins Caufield & Byers, Institutional Venture Partners
AppDynamics	Greylock Partners	Application Performance Monitoring|Apps|Business Analytics|Information Services|Information Technology|Internet|Software	50000000	$1	7/22/2014	USA	Big Data	Battery Ventures, Kleiner Perkins Caufield & Byers, Institutional Venture Partners
AppDynamics	Greylock Partners	Application Performance Monitoring|Apps|Business Analytics|Information Services|Information Technology|Internet|Software	5500000	$1	7/22/2014	USA	Big Data	Battery Ventures, Kleiner Perkins Caufield & Byers, Institutional Venture Partners
AppDynamics	Greylock Partners	Application Performance Monitoring|Apps|Business Analytics|Information Services|Information Technology|Internet|Software	70000000	$1	7/22/2014	USA	Big Data	Battery Ventures, Kleiner Perkins Caufield & Byers, Institutional Venture Partners
AppDynamics	IVP	Application Performance Monitoring|Apps|Business Analytics|Information Services|Information Technology|Internet|Software	50000000	$1	7/22/2014	USA	Big Data	Battery Ventures, Kleiner Perkins Caufield & Byers, Institutional Venture Partners
AppDynamics	IVP	Application Performance Monitoring|Apps|Business Analytics|Information Services|Information Technology|Internet|Software	70000000	$1	7/22/2014	USA	Big Data	Battery Ventures, Kleiner Perkins Caufield & Byers, Institutional Venture Partners
AppDynamics	Industry Ventures	Application Performance Monitoring|Apps|Business Analytics|Information Services|Information Technology|Internet|Software	158000000	$1	7/22/2014	USA	Big Data	Battery Ventures, Kleiner Perkins Caufield & Byers, Institutional Venture Partners
AppDynamics	Kleiner Perkins Caufield & Byers	Application Performance Monitoring|Apps|Business Analytics|Information Services|Information Technology|Internet|Software	158000000	$1	7/22/2014	USA	Big Data	Battery Ventures, Kleiner Perkins Caufield & Byers, Institutional Venture Partners
AppDynamics	Kleiner Perkins Caufield & Byers	Application Performance Monitoring|Apps|Business Analytics|Information Services|Information Technology|Internet|Software	20000000	$1	7/22/2014	USA	Big Data	Battery Ventures, Kleiner Perkins Caufield & Byers, Institutional Venture Partners
AppDynamics	Kleiner Perkins Caufield & Byers	Application Performance Monitoring|Apps|Business Analytics|Information Services|Information Technology|Internet|Software	50000000	$1	7/22/2014	USA	Big Data	Battery Ventures, Kleiner Perkins Caufield & Byers, Institutional Venture Partners
AppDynamics	Kleiner Perkins Caufield & Byers	Application Performance Monitoring|Apps|Business Analytics|Information Services|Information Technology|Internet|Software	70000000	$1	7/22/2014	USA	Big Data	Battery Ventures, Kleiner Perkins Caufield & Byers, Institutional Venture Partners
AppDynamics	Lightspeed Venture Partners	Application Performance Monitoring|Apps|Business Analytics|Information Services|Information Technology|Internet|Software	11000000	$1	7/22/2014	USA	Big Data	Battery Ventures, Kleiner Perkins Caufield & Byers, Institutional Venture Partners
AppDynamics	Lightspeed Venture Partners	Application Performance Monitoring|Apps|Business Analytics|Information Services|Information Technology|Internet|Software	20000000	$1	7/22/2014	USA	Big Data	Battery Ventures, Kleiner Perkins Caufield & Byers, Institutional Venture Partners
AppDynamics	Lightspeed Venture Partners	Application Performance Monitoring|Apps|Business Analytics|Information Services|Information Technology|Internet|Software	50000000	$1	7/22/2014	USA	Big Data	Battery Ventures, Kleiner Perkins Caufield & Byers, Institutional Venture Partners
AppDynamics	Lightspeed Venture Partners	Application Performance Monitoring|Apps|Business Analytics|Information Services|Information Technology|Internet|Software	5500000	$1	7/22/2014	USA	Big Data	Battery Ventures, Kleiner Perkins Caufield & Byers, Institutional Venture Partners
AppDynamics	Lightspeed Venture Partners	Application Performance Monitoring|Apps|Business Analytics|Information Services|Information Technology|Internet|Software	70000000	$1	7/22/2014	USA	Big Data	Battery Ventures, Kleiner Perkins Caufield & Byers, Institutional Venture Partners
AppDynamics	Sands Capital Management	Application Performance Monitoring|Apps|Business Analytics|Information Services|Information Technology|Internet|Software	70000000	$1	7/22/2014	USA	Big Data	Battery Ventures, Kleiner Perkins Caufield & Byers, Institutional Venture Partners
