D1,D2,D3,D4,D5,D6
2.35669603,8.76814329,1.55564145,0.00712615,7.42088117,10.10007947
3.19308545,4.66548313,2.26418685,2.14938544,7.6128651,0.65422498
3.0749978,4.20576652,2.87576815,0.15147248,1.91349933,5.1955824
6.43394674,10.18869971,1.64779915,2.95594586,6.1135743,2.97673328
3.70863088,1.0824517,0.26980759,2.90189627,5.03813835,6.75565077
4.71080101,2.48685599,0.56359329,0.45644844,2.25414609,5.66372892
5.23801655,6.46194584,1.19419726,0.62409997,2.82163061,10.78149455
4.67251104,6.2617648,0.88442254,2.24508926,5.71597856,2.06580715
4.41959541,7.64607546,4.72100659,0.32703347,3.08383493,1.47899296
3.58719489,4.49567892,1.14307836,0.97906177,1.2993076,2.17923114
6.02496668,4.03245759,0.14889581,0.31112741,5.44718209,2.41024655
5.35612048,5.09333333,1.01420119,1.49893106,13.79373318,6.38463003
2.83530778,2.72003165,7.24107594,0.99463268,6.87511107,3.7928131
2.29597627,2.46734267,9.65568624,0.71924395,4.34266585,2.56343801
7.0524827,4.8728406,0.87549683,0.86109973,2.62540007,2.03943396
4.50311066,0.76574037,0.71978897,1.44870949,2.7092593,2.7568379
4.1311879,3.8266951,0.18429624,0.29235723,7.86432495,9.15430011
3.94631796,4.87416166,4.11195668,1.58973248,6.28539853,5.0515794
2.9945678,4.73108477,0.33495745,0.23601246,0.7556948,-2.58567033
4.27326339,1.39237842,1.3751082,0.92300526,7.63708707,7.83333189
6.08023844,3.41164603,0.16515456,3.48093372,3.00862066,6.50925677
3.04853266,5.35477851,1.8515021,0.26946411,6.06938056,5.19804527
5.54631187,4.644649,2.06103055,0.23875384,1.99979752,12.14730649
2.8141344,6.96512118,0.67550244,0.56565331,1.12865578,2.31817447
5.65187184,3.66252227,0.45161391,0.21183503,1.73510136,3.8232025
6.04221055,4.9239491,0.58858268,0.00719178,3.37844125,-0.56185856
4.00583959,2.89696727,0.87928864,1.20398239,2.44712044,3.31926985
4.14855802,2.18552798,1.83739391,0.09072355,2.84914345,1.74449942
5.53282976,5.82834929,0.61126336,2.92824441,3.98873986,10.35803688
5.80019227,5.40051105,0.8269831,0.26967659,1.75846811,6.15104844
4.38006295,5.19443417,0.24096759,0.31998563,8.29992128,0.78100684
3.35337649,5.52949533,0.90171573,0.1005014,7.70695174,1.9761509
2.23431034,3.727503,2.57514372,0.18850503,1.68790526,2.87041384
5.11509627,3.95799307,1.09252957,0.20633262,3.64869217,4.68356394
7.58062389,3.44259599,1.46662719,1.77198012,0.98512064,2.45109539
5.60909207,4.43938478,0.85188371,0.41743457,5.26941267,3.47224436
3.82346861,3.93489909,1.6611671,0.433856,6.11831769,-1.47364659
5.19032275,0.68313617,0.31053081,0.69466055,4.77078763,-0.70354543
3.2731281,4.38308731,0.73323138,0.30944039,5.44913643,2.92642346
3.16441605,5.13865459,2.45034944,0.40145033,0.65130668,2.70315322
4.18748336,4.61607174,4.28536276,0.27346326,2.62876915,-0.50221613
5.19687305,3.16884919,3.31422055,0.99493552,2.37169322,0.30682798
4.26893027,5.54087081,2.19907873,0.98967721,6.01322813,13.28851835
4.6120795,5.19731823,0.34277592,1.63735047,4.47436824,4.02788813
4.9127907,5.75803269,1.62756264,2.16984886,5.09002625,2.12831715
4.27095748,5.2098673,1.39815878,0.27754511,5.32895723,-3.96430188
4.39922324,6.73530575,1.66725245,0.82095994,11.51141337,-0.57868606
1.31282533,2.85585651,1.59160489,1.41382246,13.83892466,6.34367932
3.01417598,3.40048013,3.75795335,0.46050146,7.46600249,3.95539838
5.64210257,1.5064131,6.71128046,0.08695463,2.62811154,6.77259175
4.16179239,2.91336715,2.59549468,0.87763775,7.25061159,0.61848583
4.62722384,4.5603634,1.56450069,0.33164776,5.64960052,1.41166235
5.11709775,2.13281232,3.37901668,0.47140712,6.87522213,4.8087619
5.50416602,4.31693435,0.40590345,0.11246668,2.57989867,-1.04318153
2.52888126,6.58307318,3.1180407,0.39375627,2.20217708,3.40105669
6.23461079,5.27244679,0.70252941,3.01027118,2.2876668,0.43982946
3.4404871,4.1918854,1.61027914,0.05546904,8.75096304,5.37216784
4.90825444,5.32482928,0.64758301,1.14680637,6.11658217,2.5716486
7.96680234,3.97478038,0.27357385,0.22803054,8.65522606,-0.5395922
8.15645814,4.50345018,4.90247563,0.41291316,1.35041492,1.63621934
3.11637978,4.73130276,0.16163811,1.28854427,6.42601011,6.53797359
3.70060774,6.13671705,0.493838,1.05272272,2.01033427,7.32372517
5.24331456,8.29800697,2.35313109,0.41974555,2.20686388,-1.33968245
3.81903942,6.89984828,0.89785706,1.72066665,4.397315,4.95109864
3.87370856,4.45315014,0.55229029,2.43340109,2.49778008,-7.23329416
7.10427064,6.53863524,1.11581343,1.13585328,13.60970126,1.92602138
3.61407471,2.46279562,1.82178669,1.08824054,6.46584817,-1.11421542
7.24930433,3.74282782,1.45892328,0.22808171,2.09200212,7.58092555
7.876325,5.34339984,1.65881616,0.02844966,9.77785599,0.32925331
5.05645922,7.63682282,1.59444818,0.21746818,3.32337555,7.24373327
4.62855847,5.42468467,0.6382775,0.08600724,0.85454133,1.05368152
2.49971388,1.90346716,0.48956649,0.22636966,0.94537863,1.32011284
4.3917738,6.01259502,1.10854267,0.82956645,4.80664013,0.50850126
10.56780519,2.77013831,0.22158971,1.00310862,4.16915691,4.97578452
4.04430587,4.10927314,1.17359491,2.04369268,2.00817875,2.76549984
5.23910553,3.94884368,0.83017989,0.97692633,2.28523645,-1.74266008
6.7761443,3.93297484,4.16226044,1.56138175,7.87268633,4.17916558
6.18342841,1.60011084,3.0201929,0.56115947,4.94856193,7.4490037
4.283999,6.57007915,0.10934947,0.15678491,3.64398406,0.96210782
3.56964007,4.79229737,1.02872494,0.08863887,14.50343608,0.42328436
6.65441402,0.73716169,0.56054311,2.81828429,2.43302475,8.36171254
5.23427517,4.15719069,0.40776438,1.30483043,2.15348408,7.05260212
4.91925524,1.75190851,1.25549779,0.55867965,3.01069592,-2.03268578
4.96415693,1.94938717,0.7496142,0.70624286,2.56271911,1.24213906
6.96975582,6.60834119,0.42632267,2.99392252,2.86462672,3.82850754
3.13415489,3.97480616,0.71234039,0.43436721,1.87778432,0.34263034
2.70503515,4.1455419,0.87902639,1.50497477,4.02797255,2.75309735
2.13788975,3.2379215,5.82298984,0.88525207,0.83186437,-2.70000318
3.71175661,4.87584307,0.36369232,1.4868635,8.74867645,-1.5288775
3.51565756,6.86817905,0.37317321,5.93246423,5.84096561,-2.55730436
3.30700264,3.77174041,6.5084302,0.64644382,4.85055443,7.815605
2.09629088,6.47767728,3.15707699,1.37479731,3.72130928,1.74294276
4.98877371,5.27491567,4.96527696,0.39490812,0.67387361,10.70964833
4.32495023,2.22711204,0.49317754,0.12598153,7.74656801,3.42058709
3.40727416,3.25982084,0.76285665,0.54742386,2.82543649,4.33724279
3.06530243,5.28771905,1.45565459,0.27710672,4.21492919,-2.42882513
6.73632005,5.35704294,0.61069964,0.49045175,13.91332076,2.90345002
3.73700269,4.66859986,0.50490158,0.67633755,3.35401036,10.14935866
1.97456115,1.73449618,1.52220213,2.37931427,1.76079855,6.28916479
5.66511179,4.81261641,0.81832763,0.68472134,4.01425415,6.07614863
4.23941429,3.91184633,1.63551788,0.48181649,9.96037864,3.55952933
6.74037442,5.05986202,3.65845069,1.37045613,2.76581693,4.88236218
2.03931392,3.39361843,0.93036725,0.4358496,1.85115042,2.10025875
4.44381174,3.57393425,1.4478494,0.44498751,2.06013195,3.93589572
4.57601897,2.36094281,0.49378628,0.34043877,3.3017929,1.33879796
2.52901266,3.1287146,5.26699187,4.08880845,5.24420574,-2.08829003
3.1580833,1.35836047,0.64467882,1.01332245,7.94566849,1.52410751
7.89983237,5.45647329,2.98245705,2.44003798,3.74414049,6.47290292
3.19328931,-0.09072084,0.2223814,0.12981193,9.64832181,2.20856267
4.71047186,3.04240281,2.75649542,2.31313408,2.16912082,3.79187614
5.02387815,2.9501657,0.58121356,2.49838341,7.8003625,5.51906953
3.84097108,3.92704641,0.76258627,0.68933882,4.10378458,4.97564642
5.54052346,3.87842233,0.37238615,0.03676951,8.73897338,2.02367456
9.29855082,1.44216206,0.50559854,0.8939271,4.01130237,1.81315151
2.77120045,-1.96320406,5.90228076,1.49767561,3.68343568,-1.07049263
2.41808469,3.94029626,0.43407278,0.19714302,7.62683728,1.11520408
3.410661,2.76326109,2.38965181,1.1030792,1.84386972,2.95977186
4.70554743,5.71560954,6.12370883,0.41535208,2.6663036,3.7445732
7.04795322,2.96077879,3.1005244,0.97282228,8.07498043,-0.33632653
4.69865685,4.22005634,0.23987282,3.21331334,1.896996,3.25521938
3.81886816,8.70061565,2.57174924,0.4391962,1.28429955,6.30052387
5.97537734,3.96377471,1.20306025,0.07033044,3.04323861,-0.65815516
3.80536635,3.8202129,0.27439807,0.00535357,7.29577191,1.71266615
3.59113997,2.42553377,0.3896829,1.44093071,1.63443898,0.61281084
4.58049101,5.48388181,0.87890237,1.08285245,11.08811645,-0.88670935
4.83166137,1.83590327,0.80810866,1.13509058,9.04130823,-2.67149192
6.19068315,5.09634208,0.48733885,0.83222188,5.29616663,5.68113264
5.32654957,3.38056876,0.70494356,1.71824119,3.11722613,5.54516256
5.19265203,4.80778344,0.79378665,0.47968757,9.01792844,-0.22160037
4.82086689,2.05863733,6.3838248,1.6687088,5.20242703,-0.19394891
3.76369725,6.64517864,0.9791507,2.33655981,5.04785039,5.77213465
4.99776412,4.85562555,0.91273384,1.57933061,3.77319438,7.79662049
2.65101423,3.10217956,5.03931895,0.96424412,3.78704634,-2.73759905
4.4125157,1.40536357,5.0136203,1.55865774,7.62332269,16.66185399
6.91779486,3.96718747,2.46033304,0.08051211,4.03919873,-1.13404508
3.96778148,6.03995531,0.1524306,1.7079322,0.99860723,-1.74545244
6.61921384,7.99709239,2.04237242,0.97223292,8.07615922,2.64760316
3.99317813,-0.89706136,1.43122989,0.67234538,4.66489324,9.0452678
2.37621755,3.17429821,0.93912263,1.56101436,5.19614161,5.85396411
8.74173857,1.4434715,0.73996755,1.22623175,2.50384914,-1.6650609
6.48590049,4.75195871,0.47225463,1.22798212,4.68199177,0.96625941
2.2752151,4.26614303,2.5721415,1.62143164,5.70439564,-0.72255242
4.87509064,4.3656898,0.18283492,0.47648492,6.98275826,2.05177775
6.15826867,4.16892142,3.03898155,0.05257092,5.46020215,2.54467949
4.38560008,5.45522516,0.39722024,1.18235207,8.28788914,9.50253557
3.32479305,6.19087081,2.12770566,1.77721889,6.21967314,2.76566066
3.990772,4.07914592,1.17653686,1.32827505,9.41837741,4.77409593
3.58831803,4.9436683,1.6076079,5.20727436,3.61340068,1.5023343
5.38201942,2.5178217,1.27595995,1.29631429,4.82758556,5.10216968
6.52248532,1.26524328,1.33448935,3.80543343,5.35093539,-0.97894947
4.42335537,7.47314889,0.41892465,1.69747284,10.09803063,2.37228801
4.96475731,9.50059544,2.17935436,1.97397097,4.90991931,1.16216025
2.27980153,1.38544769,0.36015128,1.5435706,2.1187531,3.7942904
3.45917241,7.43451846,2.19170141,0.14596126,8.7159207,7.50483578
3.86594024,5.36124705,0.10400098,0.32179256,3.51912968,1.74272935
4.10442578,4.26884994,0.99162349,1.02037312,6.91993894,-2.85458576
5.90861073,1.90664734,0.61596221,2.23640268,6.12700928,5.28905295
4.37042934,5.22492788,0.68972347,1.47773671,1.2703437,1.96279803
6.08640754,1.59470344,0.38990825,0.4356744,7.98688762,5.35646417
1.44331888,0.55998497,0.73807075,4.25189259,2.41487931,1.48328747
2.50518034,4.25347927,0.88063375,0.12584588,3.85596778,-1.39076925
2.58163656,4.24165433,1.50111433,1.75578643,2.38286033,10.89970701
5.92076438,2.60581215,1.67235865,0.01687172,5.53351917,2.69608022
4.88340089,4.82127552,1.26874644,1.77540261,10.52234402,5.21062765
2.51347089,0.9142033,1.66215301,0.39075386,2.249996,1.09042972
4.65548964,3.49976202,5.3456291,1.76254746,2.98073688,0.66540233
4.72594276,3.2102079,2.12770748,2.07066929,1.79439945,2.04545112
6.06055279,5.22051772,0.50755952,0.48892947,1.90071213,0.33564614
5.57727919,5.4450265,0.52225007,3.19987075,2.2962793,7.17625516
4.91791157,7.86030676,1.34816637,2.48406495,5.36248526,7.62942163
4.48094008,4.12216014,0.32188271,0.27039146,4.829445,4.49753152
2.25607625,2.9306202,0.29579953,0.01024164,4.94560623,5.34266523
4.24493095,2.06327281,4.99264512,1.99426594,6.87360049,5.79070484
3.66278995,4.37056228,1.96536486,1.03879882,2.42499558,6.3620076
5.05201663,4.50153907,0.31024455,0.126869,2.02563058,5.73819882
3.48332082,1.77242834,0.37233856,1.95556253,3.33550158,-2.69767128
2.12454079,2.25070979,1.26984271,2.55928606,9.11482058,-1.51301051
3.7523876,4.33765399,0.53144332,0.73925529,2.79173633,4.81426522
6.26426907,4.97226651,0.54790609,0.06314326,4.12823499,3.66481583
3.4066049,5.65587243,2.07678547,0.1393421,8.06048485,0.97826545
3.55672067,5.18660584,3.13532689,0.19445313,7.99371177,1.05654593
3.81557848,4.86773396,0.2746668,1.7135064,4.78658495,3.90302004
5.56069527,8.39111978,3.62529931,2.96469901,3.45427449,-1.1525303
7.05365741,3.9863295,0.37422492,0.67849716,8.57792174,5.61528321
5.92248701,2.59050709,0.43483768,0.31055697,3.64662518,-1.5721874
3.15991992,4.71688124,0.35414711,1.4483247,0.70212008,4.9569571
3.17864748,1.22441566,0.13276819,0.04836024,1.503234,3.97080955
4.07649169,6.01511125,0.40019059,1.91149608,8.54354456,3.55707015
6.50339699,3.87650023,11.17035504,1.66607218,3.45378852,-0.19595444
3.00647821,5.58400646,1.50162262,0.97489698,12.61072993,8.81753142
4.39695463,5.53573373,0.63487645,0.07254167,2.76137156,6.0139513
5.19611417,3.11260376,2.32423899,1.08893591,2.81911781,-7.19201045
2.92089201,2.19465994,2.21195845,0.82599474,4.44636214,1.31240784
8.14691298,6.54710251,1.55588221,0.23816047,11.5105972,4.21104207
6.26793762,7.02871536,0.83415689,2.63603447,4.82239973,-3.00280152
4.52260257,9.40876936,1.79832625,0.49506471,5.13083707,3.47515824
4.37278232,2.7838189,2.05148082,1.56573972,12.89878778,0.28473238
2.43419972,5.27137624,2.49235767,1.37803703,7.44472985,4.73832025
6.7888872,8.2383583,0.28419015,0.17470315,3.00620897,3.02274135
5.40691899,1.15606027,2.14824515,0.04507548,6.36353416,-9.25084937
4.69998236,2.33742132,1.41239143,1.96163614,6.84927046,5.1240236
7.79731744,4.65325553,3.11947611,0.10213562,13.81591008,1.06231827
3.46336949,1.56697364,0.36683798,1.5716158,3.2305491,-0.39440765
3.46292555,3.91254759,2.43227458,0.36449581,6.69129833,7.84352096
3.85654305,3.55570917,1.29422282,1.17273605,5.98439022,-0.00095978
3.14068875,1.254659,0.79350471,0.09280292,5.48239287,7.53540715
3.44936408,2.12805954,2.43130247,1.30874819,4.73739842,6.21439842
5.69422409,1.8314502,0.61428286,0.7780575,2.86567156,3.3515746
3.07520173,4.21128807,0.19614953,1.56054593,1.44379498,6.93674264
7.72497486,4.59501419,2.79141189,2.97582057,2.44246425,4.24026803
8.69007137,1.44716552,1.92106407,3.56626155,2.99661667,-6.11610062
3.52425665,1.52756652,0.1845167,0.14997374,3.88923873,6.29147743
4.31541993,4.14777624,1.27055783,0.23862142,3.87709726,5.28425402
4.32028074,4.36304775,12.05948212,1.10475394,6.47229144,1.43779055
4.08888221,4.88770072,1.02258107,1.96825916,1.75830323,6.25870147
4.51767135,4.71995572,0.2293878,0.32269146,4.28828582,5.39161549
4.19010805,5.422737,0.11152924,0.38619495,1.50787678,5.33141753
4.85116753,5.05537348,0.97064652,0.77389752,5.06559696,4.09007818
3.06781455,4.7291657,0.9129415,1.45503837,4.19714284,0.9078765
4.43917913,6.08240553,2.49505121,0.60346186,4.40954623,3.73904011
3.69056261,5.71270463,0.23087929,0.49907608,5.09176454,10.33685181
5.24062963,3.48044751,3.21794452,0.0210307,2.88666443,4.03250538
4.09903234,4.95181346,1.61583148,0.80502413,1.637177,4.04718948
3.54303359,2.07113764,1.07594542,0.70074729,8.59967901,4.74965157
4.54769316,5.53309919,0.06650916,0.43392765,8.47501992,1.74532048
2.46988382,1.47244724,0.26292803,1.98205546,0.55920248,1.0659381
4.32964996,3.67656081,1.71590216,0.04572688,1.01819765,1.23268778
3.04205822,-2.19473167,0.1701135,1.0342317,2.83164808,1.16969412
3.07449469,5.25830027,0.91275751,0.09723724,10.22418964,6.91970632
3.11597063,3.59047628,10.15685125,0.34002049,3.06037359,2.56998845
5.17544229,9.75156793,0.37821134,0.27014984,3.38431766,-0.27320747
3.76478065,5.1786719,0.52918271,1.27676434,2.73964575,-1.29705247
3.06865434,4.73425791,0.74022778,0.79115731,3.71858292,5.32267153
6.32497397,1.77771552,0.59720087,2.35939107,2.39817338,5.18449687
4.42919873,2.38773937,2.690254,1.28808858,8.97711151,11.24113535
6.54817243,6.32471149,0.68954352,1.78559398,2.63029287,1.66466413
5.06524799,1.89105233,1.61377257,0.3210537,14.63307515,3.7102674
4.6149872,3.79696559,1.73009945,0.1676464,1.98754371,7.0438526
3.36980057,2.4106615,0.14812522,0.74262313,4.29861888,3.83205811
6.53715124,5.62071731,0.45464353,0.02690023,1.72962625,13.85699348
6.78097159,3.31613538,3.22144928,1.93159447,8.74214695,3.94697408
3.50555733,1.34393025,1.02470422,0.36555512,0.66840726,-0.41498136
4.21691108,4.69365672,0.13927417,0.12174571,2.32233677,5.29477608
3.67653703,5.18857397,1.03698859,0.48618072,2.74803813,4.08272032
3.07958334,5.3642864,0.7144743,0.82465053,7.92950412,1.03658468
1.95144305,2.4553048,1.27964512,0.01954452,10.7559091,2.94404743
6.16496219,1.76592261,0.05029294,0.02735532,1.66460741,9.10408273
6.0234159,5.50543773,0.74211166,1.17174501,16.0335265,3.14453227
4.60335041,6.13827875,1.31348102,1.79868921,8.28337781,5.58027698
6.84231718,2.20609488,0.26129324,3.04022335,4.30985915,-2.31683807
4.4362381,6.12889518,0.63714266,0.0627917,5.45665446,-1.58312201
3.50393986,4.2546115,3.61298397,1.39422008,2.6744243,0.7883174
6.15030598,1.66272054,0.24816478,2.55272295,0.62821524,5.98949707
4.22630833,6.47728947,1.09287606,0.46997476,5.94284763,4.51093123
3.57497208,2.05833421,0.89631887,1.27253812,4.90220331,-0.97078176
3.50098117,7.60573179,5.66636968,0.90325404,4.61330771,2.14197339
7.41518912,5.81027417,0.85349946,1.9188623,11.09500228,-0.6522214
4.05687795,-1.08854584,0.69749994,0.7043779,3.42000766,-2.44714787
6.61780644,3.28325172,1.29245734,1.57158543,3.2628067,1.92466544
5.50321318,3.97950666,1.92278043,0.62043239,2.36170725,6.26628491
2.57165909,1.0066218,0.50733263,0.18012203,4.77522608,-3.35908193
3.64368728,0.77291649,0.19669468,0.15363162,4.53326341,2.60397721
3.91598429,-0.24281587,0.80430259,1.27627705,2.75760572,2.9327055
4.14526729,1.02267102,0.5836698,0.24609485,4.91490244,2.59904945
4.73446143,5.61521164,1.11078417,0.06240603,3.14836816,5.7374902
5.02050535,5.07492523,0.59843565,0.36260202,4.67936206,3.39703713
6.8786279,4.30236314,1.74068446,4.93978042,1.69549613,0.55566749
4.31539164,4.75693346,1.14321033,1.19334146,1.09138242,0.90398707
7.38455683,7.35139884,0.4346678,0.57577654,10.28104038,4.26203447
5.23317833,4.18979544,0.35709018,0.42725937,5.95897662,2.65879549
4.31078244,2.74739383,0.25995077,0.16438583,1.9797866,4.29313711
2.55979705,2.40067692,0.32802502,0.63926137,9.35709883,3.61441659
3.04418322,2.54795846,0.67543722,0.33668556,4.01830968,2.8826464
6.1677682,0.4920414,1.85919492,0.1570416,4.48878299,3.61685106
6.40503971,7.26922031,2.3017112,0.70183402,5.07840792,-1.91936105
6.88199586,8.28406634,1.63195684,1.45666873,10.61044836,8.22026172
5.76718429,6.09801239,3.48358476,0.27799717,2.24224576,3.25776811
7.09108245,2.31287459,0.6714368,0.49385828,6.3791259,5.39308814
5.62815502,6.67627647,1.71536278,0.13497077,4.60520425,-0.05187807
4.76940958,5.45975368,1.16158985,1.0339027,7.39739189,2.92512725
7.21578887,3.98866683,0.0956572,0.24330578,6.7794473,4.97630779
3.65151146,3.48121717,0.20392383,2.00911614,2.74721105,0.21920538
4.90826491,1.15101627,0.67128922,0.80472295,11.68318242,3.97849711
5.90932604,4.81294174,1.63648923,1.07127146,1.07727661,3.40035481
2.42487958,0.23705397,2.07363657,1.78468179,1.55147847,5.52533151
5.84872394,4.34923437,0.22198219,1.39473243,4.42906186,1.33086074
2.5042545,4.83998389,0.75183539,0.34641789,5.64378938,5.547671
2.28504062,5.1210368,1.56481757,0.89354448,1.99505447,3.26984785
3.844421,3.31603143,1.7923956,0.19969808,7.75146912,2.38674625
2.44045173,4.60943283,1.22089896,0.2024753,4.37895108,-2.21128474
3.62338122,3.87574633,1.07246234,0.40715907,5.74876871,3.3004762
4.3864813,7.1708706,0.58324787,0.2406302,1.681792,1.50589394
4.07241494,1.28730843,0.31534233,0.06483301,2.37692313,3.18955257
3.24826309,2.06058135,0.95390384,2.06042638,3.83511718,2.12578114
5.41828387,1.11942701,1.40498516,0.85483757,2.11203243,1.09563086
5.35861398,3.35795429,1.81537556,1.38232538,6.95693968,-1.93262933
3.80858926,5.15890033,0.57173003,0.60594073,4.35596201,1.99416388
4.80120818,1.08820146,2.6715226,0.06397059,5.73473727,-0.4548383
5.16730796,4.03903546,1.62148036,0.2854668,3.19776861,6.0689242
3.28663293,7.10326097,0.29877541,0.59320262,5.25389273,-0.75205612
3.6984074,-0.26595685,0.29806251,1.17028054,1.85094294,4.54451839
4.58934512,-1.2863063,0.65969682,0.12822001,4.40824439,5.65325182
3.19326037,6.1300648,0.23960909,0.27986534,5.27530057,4.03816489
6.1679418,1.70373956,1.07450682,0.4953601,0.65457181,6.80176104
6.76401294,4.54095839,0.23702585,0.03828426,3.363249,1.20738445
4.32189946,3.43476788,0.62657493,0.53725028,5.05475627,-1.48518274
4.4865939,3.04686727,1.16119245,1.57450328,5.24440559,13.29422505
4.33491614,3.94426995,0.37546466,0.04426,10.58408804,6.66678144
3.75577888,-0.17610283,2.87090725,0.46284725,2.53945808,5.5975807
3.84608817,2.08341298,1.76675788,2.20788441,2.69260235,4.1676991
4.35642937,3.61561603,1.00951139,0.17725236,5.88477727,4.50255714
3.12655882,3.72862262,0.53755671,0.53298867,2.9254286,-0.61526956
3.26537883,2.42739662,0.41238506,1.12913975,7.52623095,5.21158588
5.25509932,8.15177353,1.76305746,1.29035535,1.28129542,-7.56932669
4.94511427,3.96791122,0.62014296,3.91113261,1.3546676,-3.99264406
3.60038482,7.24885695,1.84933659,0.40436235,7.27786241,1.2285697
3.9110847,2.77164821,1.87739508,0.91366898,1.096682,3.13176016
5.2914718,3.42790326,0.21378068,2.37001032,2.2058699,-5.40882586
6.5010348,6.64235076,8.88627788,0.32313695,7.54443066,1.79628171
8.10208291,3.14076695,0.68186542,3.69071436,9.90617041,6.05979649
1.98145704,1.75792721,3.77876582,0.01184132,5.58585198,-10.98311317
3.50548947,3.75564546,0.20693471,0.2427156,3.68071957,6.90346626
4.40698796,6.68433684,0.10811562,0.26241194,4.81286737,4.1210966
1.99141517,5.57147933,0.6953676,0.03189174,3.6699793,2.97960159
3.54945153,5.27996239,1.15918786,1.48445132,8.38177829,4.27660003
3.99732493,3.49515973,0.35445552,0.64931823,7.89231353,1.12728354
3.11812277,2.31636894,1.6361955,0.36529844,1.13318429,0.98632181
4.15384743,4.63513894,0.40888469,5.6159425,4.56795245,4.32158268
